category_id,category_name,parent_category,level,full_path
1,Default Category,,0,Default Category
2,Tous les produits,Default Category,1,Default Category/Tous les produits
3,SCOLAIRE,Tous les produits,2,Default Category/Tous les produits/SCOLAIRE
4,CALCULATRICES,SCOLAIRE,3,Default Category/Tous les produits/SCOLAIRE/CALCULATRICES
5,CALCULATRICES SCIENTIFIQUES,CALCULATRICES,4,Default Category/Tous les produits/SCOLAIRE/CALCULATRICES/CALCULATRICES SCIENTIFIQUES
6,CALCULATRICES DE POCHE,CALCULATRICES,4,Default Category/Tous les produits/SCOLAIRE/CALCULATRICES/CALCULATRICES DE POCHE
7,FOURNITURES ET ACCESSOIRES,SCOLAIRE,3,Default Category/Tous les produits/SCOLAIRE/FOURNITURES ET ACCESSOIRES
8,PALETTE DE PEINTURE,FOURNITURES ET ACCESSOIRES,4,Default Category/Tous les produits/SCOLAIRE/FOURNITURES ET ACCESSOIRES/PALETTE DE PEINTURE
9,BUREAUTIQUE,Tous les produits,2,Default Category/Tous les produits/BUREAUTIQUE
10,CALCULATRICES,BUREAUTIQUE,3,Default Category/Tous les produits/BUREAUTIQUE/CALCULATRICES
11,CALCULATRICES SCIENTIFIQUES,CALCULATRICES,4,Default Category/Tous les produits/BUREAUTIQUE/CALCULATRICES/CALCULATRICES SCIENTIFIQUES
12,CALCULATRICES DE BUREAU,CALCULATRICES,4,Default Category/Tous les produits/BUREAUTIQUE/CALCULATRICES/CALCULATRICES DE BUREAU
13,CALCULATRICES IMPRIMANTES & RUBANS,CALCULATRICES,4,Default Category/Tous les produits/BUREAUTIQUE/CALCULATRICES/CALCULATRICES IMPRIMANTES & RUBANS
14,EQUIPEMENT ELECTRONIQUE,BUREAUTIQUE,3,Default Category/Tous les produits/BUREAUTIQUE/EQUIPEMENT ELECTRONIQUE
15,ETIQUETEUSE ELECTRONIQUES,EQUIPEMENT ELECTRONIQUE,4,Default Category/Tous les produits/BUREAUTIQUE/EQUIPEMENT ELECTRONIQUE/ETIQUETEUSE ELECTRONIQUES
16,LOISIRS CREATIFS,Tous les produits,2,Default Category/Tous les produits/LOISIRS CREATIFS
17,BEAUX ARTS,Tous les produits,2,Default Category/Tous les produits/BEAUX ARTS
18,ECRITURE & COLORIAGE,Tous les produits,2,Default Category/Tous les produits/ECRITURE & COLORIAGE
19,BRICOLAGE,Tous les produits,2,Default Category/Tous les produits/BRICOLAGE
