sku,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,configurable_variations
1140659762,Products,simple,"Default Category/Tous les produits/BEAUX ARTS/COULEURS ACRYLIQUES/ACRYLIQUE STUDIO,Default Category/Tous les produits/BEAUX ARTS/COULEURS ACRYLIQUES,Default Category/Tous les produits/BEAUX ARTS,Default Category/Tous les produits,Default Category/Tous les produits/LOISIRS CREATIFS/COULEURS ACRYLIQUES/ACRYLIQUE STUDIO,Default Category/Tous les produits/LOISIRS CREATIFS/COULEURS ACRYLIQUES,Default Category/Tous les produits/LOISIRS CREATIFS,Default Category/Tous les produits/BRICOLAGE/COULEURS ACRYLIQUES/ACRYLIQUE STUDIO,Default Category/Tous les produits/BRICOLAGE/COULEURS ACRYLIQUES,Default Category/Tous les produits/BRICOLAGE",base,"CAHIER DE BROUILLON PIQUE CALLIGRAPHE 96P 17x22 CM 56G SEYES ""CALLIGRAPHE"" REF:2196C","Compas à bague, bonne rigidité, branches en métal, coloris assorrtis.","Réglure Clairefontaine Seyès tricolore pour un meilleur confort d'écriture !
Tables de calcul au verso sur la couverture.",1015,1,"Taxable Goods",Search,1200,France,"mgs_brand=CALLIGRAPHE,techno_ref=7272C,dimension=17x22cm",9999,,
1140659682,Products,simple,"Default Category/Tous les produits/SCOLAIRE/CALCULATRICES/CALCULATRICES SCIENTIFIQUES,Default Category/Tous les produits/SCOLAIRE/CALCULATRICES,Default Category/Tous les produits/SCOLAIRE,Default Category/Tous les produits,Default Category/Tous les produits/BUREAUTIQUE/CALCULATRICES/CALCULATRICES SCIENTIFIQUES,Default Category/Tous les produits/BUREAUTIQUE/CALCULATRICES,Default Category/Tous les produits/BUREAUTIQUE",base,"CALCULATRICE GRAPHIQUE ""CASIO"" REF: FX-7400GII ""CASIO"" REF:FX-7400GII",,Indexage central avec 2 sections pour 2 matières différentes = sac plus léger !,284,1,,Search,France,"mgs_brand=CASIO,techno_ref=FX-7400GII",,,
1140659681,Products,simple,"Default Category/Tous les produits/SCOLAIRE/CALCULATRICES/CALCULATRICES SCIENTIFIQUES,Default Category/Tous les produits/SCOLAIRE/CALCULATRICES,Default Category/Tous les produits/SCOLAIRE,Default Category/Tous les produits,Default Category/Tous les produits/BUREAUTIQUE/CALCULATRICES/CALCULATRICES SCIENTIFIQUES,Default Category/Tous les produits/BUREAUTIQUE/CALCULATRICES,Default Category/Tous les produits/BUREAUTIQUE",base,"CALCULATRICE GRAPHIQUE ""CASIO"" REF: GRAPH 35+E ""CASIO"" REF:GRAPH 35+E",,Indexage central avec 2 sections pour 2 matières différentes = sac plus léger !,561,1,,Search,France,"mgs_brand=CASIO,techno_ref=GRAPH 35+E",,,
1140659680,Products,simple,"Default Category/Tous les produits/SCOLAIRE/CALCULATRICES/CALCULATRICES SCIENTIFIQUES,Default Category/Tous les produits/SCOLAIRE/CALCULATRICES,Default Category/Tous les produits/SCOLAIRE,Default Category/Tous les produits,Default Category/Tous les produits/BUREAUTIQUE/CALCULATRICES/CALCULATRICES SCIENTIFIQUES,Default Category/Tous les produits/BUREAUTIQUE/CALCULATRICES,Default Category/Tous les produits/BUREAUTIQUE",base,"CALCULATRICE GRAPHIQUE ""CASIO"" REF: FX-9750GII ""CASIO"" REF:FX-9750GII",,Indexage central avec 3 sections pour 3 matières différentes = sac plus léger !,451,1,,Search,France,"mgs_brand=CASIO,techno_ref=FX-9750GII",,,
1140659677,Products,simple,"Default Category/Tous les produits/SCOLAIRE/CALCULATRICES/CALCULATRICES SCIENTIFIQUES,Default Category/Tous les produits/SCOLAIRE/CALCULATRICES,Default Category/Tous les produits/SCOLAIRE,Default Category/Tous les produits,Default Category/Tous les produits/BUREAUTIQUE/CALCULATRICES/CALCULATRICES SCIENTIFIQUES,Default Category/Tous les produits/BUREAUTIQUE/CALCULATRICES,Default Category/Tous les produits/BUREAUTIQUE",base,"CALCULATRICE GRAPHIQUE ""CASIO"" REF: FX-9860GII ""CASIO"" REF:FX-9860GII",,Indexage central avec 3 sections pour 3 matières différentes = sac plus léger !,405,1,,Search,France,"mgs_brand=CASIO,techno_ref=FX-9860GII",,,
1140659678,Products,simple,"Default Category/Tous les produits/SCOLAIRE/CALCULATRICES/CALCULATRICES SCIENTIFIQUES,Default Category/Tous les produits/SCOLAIRE/CALCULATRICES,Default Category/Tous les produits/SCOLAIRE,Default Category/Tous les produits,Default Category/Tous les produits/BUREAUTIQUE/CALCULATRICES/CALCULATRICES SCIENTIFIQUES,Default Category/Tous les produits/BUREAUTIQUE/CALCULATRICES,Default Category/Tous les produits/BUREAUTIQUE",base,"CALCULATRICE SCIENTIFIQUE 552 FONCTIONS CLASSWIZ ""CASIO"" REF: FX-991EX ""CASIO"" REF:FX-991EX",,Indexage central avec 3 sections pour 3 matières différentes = sac plus léger !,66,1,,Search,France,"mgs_brand=CASIO,techno_ref=FX-991EX",,,
1140659679,Products,simple,"Default Category/Tous les produits/SCOLAIRE/CALCULATRICES/CALCULATRICES SCIENTIFIQUES,Default Category/Tous les produits/SCOLAIRE/CALCULATRICES,Default Category/Tous les produits/SCOLAIRE,Default Category/Tous les produits,Default Category/Tous les produits/BUREAUTIQUE/CALCULATRICES/CALCULATRICES SCIENTIFIQUES,Default Category/Tous les produits/BUREAUTIQUE/CALCULATRICES,Default Category/Tous les produits/BUREAUTIQUE",base,"CALCULATRICE SCIENTIFIQUE NON PROGRAMMABLE SPECIALE COLLÈGE ""CASIO"" REF: FX-92SPECOL ""CASIO"" REF:FX-92SPECOL",,Indexage central avec 4 sections pour 4 matières différentes = sac plus léger !,168,1,,Search,France,"mgs_brand=CASIO,techno_ref=FX-92SPECOL",,,
1140659676,Products,simple,"Default Category/Tous les produits/SCOLAIRE/CALCULATRICES/CALCULATRICES SCIENTIFIQUES,Default Category/Tous les produits/SCOLAIRE/CALCULATRICES,Default Category/Tous les produits/SCOLAIRE,Default Category/Tous les produits,Default Category/Tous les produits/BUREAUTIQUE/CALCULATRICES/CALCULATRICES SCIENTIFIQUES,Default Category/Tous les produits/BUREAUTIQUE/CALCULATRICES,Default Category/Tous les produits/BUREAUTIQUE",base,"CALCULATRICE SCIENTIFIQUE 275 FONCTIONS CLASSWIZ ""CASIO"" REF: FX-82ARX ""CASIO"" REF:FX-82ARX",,Indexage central avec 4 sections pour 4 matières différentes = sac plus léger !,72,1,,Search,France,"mgs_brand=CASIO,techno_ref=FX-82ARX",,,
1140659666,Products,simple,"Default Category/Tous les produits/SCOLAIRE/CALCULATRICES/CALCULATRICES SCIENTIFIQUES,Default Category/Tous les produits/SCOLAIRE/CALCULATRICES,Default Category/Tous les produits/SCOLAIRE,Default Category/Tous les produits,Default Category/Tous les produits/BUREAUTIQUE/CALCULATRICES/CALCULATRICES SCIENTIFIQUES,Default Category/Tous les produits/BUREAUTIQUE/CALCULATRICES,Default Category/Tous les produits/BUREAUTIQUE",base,"CALCULATRICE SCIENTIFIQUE 417 FONCTIONS ""CASIO"" REF: FX-991ESPLUS ""CASIO"" REF:FX-991ESPLUS",,"Couverture souple et résistante en polypropylène, plus besoin de protège-cahier !",255.5,1,,Search,France,"mgs_brand=CASIO,techno_ref=FX-991ESPLUS",,,
1140659667,Products,simple,"Default Category/Tous les produits/SCOLAIRE/CALCULATRICES/CALCULATRICES SCIENTIFIQUES,Default Category/Tous les produits/SCOLAIRE/CALCULATRICES,Default Category/Tous les produits/SCOLAIRE,Default Category/Tous les produits,Default Category/Tous les produits/BUREAUTIQUE/CALCULATRICES/CALCULATRICES SCIENTIFIQUES,Default Category/Tous les produits/BUREAUTIQUE/CALCULATRICES,Default Category/Tous les produits/BUREAUTIQUE",base,"CALCULATRICE SCIENTIFIQUE 252 FONCTIONS ""CASIO"" REF: FX-82ESPLUSBK ""CASIO"" REF:FX-82ESPLUSBK",,"Couverture souple et résistante en polypropylène, plus besoin de protège-cahier !",468,1,,Search,France,"mgs_brand=CASIO,techno_ref=FX-82ESPLUSBK",,,
1140671617,Products,configurable,"Default Category/Tous les produits/SCOLAIRE/CALCULATRICES/CALCULATRICES SCIENTIFIQUES,Default Category/Tous les produits/SCOLAIRE/CALCULATRICES,Default Category/Tous les produits/SCOLAIRE,Default Category/Tous les produits,Default Category/Tous les produits/BUREAUTIQUE/CALCULATRICES/CALCULATRICES SCIENTIFIQUES,Default Category/Tous les produits/BUREAUTIQUE/CALCULATRICES,Default Category/Tous les produits/BUREAUTIQUE",base,"CALCULATRICE SCIENTIFIQUE 401 FONCTIONS ""CASIO"" REF: FX-570MS ""CASIO"" REF:FX-570MS",,"Couverture souple et résistante en polypropylène, plus besoin de protège-cahier !",99,1,,Search,France,"mgs_brand=CASIO,techno_ref=FX-570MS",,,"sku=1140659600,type=5X5|sku=1140659601,type=SEYES"
