sku,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,configurable_variations,price,status,url_key
1140659762,Products,simple,Default Category,base,"CAHIER DE BROUILLON PIQUE CALLIGRAPHE 96P 17x22 CM 56G SEYES ""CALLIGRAPHE"" REF:2196C","Compas à bague, bonne rigidité, branches en métal, coloris assorrtis.","Réglure Clairefontaine Seyès tricolore pour un meilleur confort d'écriture !
Tables de calcul au verso sur la couverture.",1015,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Calligraphe,techno_ref=7272C",9999,0,,5.99,1,cahier-de-brouillon-pique-calligraphe-96p-17x22-cm
1140659682,Products,simple,Default Category,base,"CALCULATRICE GRAPHIQUE ""CASIO"" REF: FX-7400GII ""CASIO"" REF:FX-7400GII","CALCULATRICE GRAPHIQUE ""CASIO"" REF: FX-7400GII ""CASIO"" REF:FX-7400GII",Indexage central avec 2 sections pour 2 matières différentes = sac plus léger !,284,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Casio,techno_ref=FX-7400GII",100,0,,15.99,1,calculatrice-graphique-casio-ref-fx-7400gii-casio-
1140659681,Products,simple,Default Category,base,"CALCULATRICE GRAPHIQUE ""CASIO"" REF: GRAPH 35+E ""CASIO"" REF:GRAPH 35+E","CALCULATRICE GRAPHIQUE ""CASIO"" REF: GRAPH 35+E ""CASIO"" REF:GRAPH 35+E",Indexage central avec 2 sections pour 2 matières différentes = sac plus léger !,561,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Casio,techno_ref=GRAPH 35+E",100,0,,15.99,1,calculatrice-graphique-casio-ref-graph-35e-casio-r
1140659680,Products,simple,Default Category,base,"CALCULATRICE GRAPHIQUE ""CASIO"" REF: FX-9750GII ""CASIO"" REF:FX-9750GII","CALCULATRICE GRAPHIQUE ""CASIO"" REF: FX-9750GII ""CASIO"" REF:FX-9750GII",Indexage central avec 3 sections pour 3 matières différentes = sac plus léger !,451,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Casio,techno_ref=FX-9750GII",100,0,,15.99,1,calculatrice-graphique-casio-ref-fx-9750gii-casio-
1140659677,Products,simple,Default Category,base,"CALCULATRICE GRAPHIQUE ""CASIO"" REF: FX-9860GII ""CASIO"" REF:FX-9860GII","CALCULATRICE GRAPHIQUE ""CASIO"" REF: FX-9860GII ""CASIO"" REF:FX-9860GII",Indexage central avec 3 sections pour 3 matières différentes = sac plus léger !,405,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Casio,techno_ref=FX-9860GII",100,0,,15.99,1,calculatrice-graphique-casio-ref-fx-9860gii-casio-
1140659678,Products,simple,Default Category,base,"CALCULATRICE SCIENTIFIQUE 552 FONCTIONS CLASSWIZ ""CASIO"" REF: FX-991EX ""CASIO"" REF:FX-991EX","CALCULATRICE SCIENTIFIQUE 552 FONCTIONS CLASSWIZ ""CASIO"" REF: FX-991EX ""CASIO"" REF:FX-991EX",Indexage central avec 3 sections pour 3 matières différentes = sac plus léger !,66,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Casio,techno_ref=FX-991EX",100,0,,15.99,1,calculatrice-scientifique-552-fonctions-classwiz-c
1140659679,Products,simple,Default Category,base,"CALCULATRICE SCIENTIFIQUE NON PROGRAMMABLE SPECIALE COLLÈGE ""CASIO"" REF: FX-92SPECOL ""CASIO"" REF:FX-92SPECOL","CALCULATRICE SCIENTIFIQUE NON PROGRAMMABLE SPECIALE COLLÈGE ""CASIO"" REF: FX-92SPECOL ""CASIO"" REF:FX-92SPECOL",Indexage central avec 4 sections pour 4 matières différentes = sac plus léger !,168,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Casio,techno_ref=FX-92SPECOL",100,0,,15.99,1,calculatrice-scientifique-non-programmable-special
1140659676,Products,simple,Default Category,base,"CALCULATRICE SCIENTIFIQUE 275 FONCTIONS CLASSWIZ ""CASIO"" REF: FX-82ARX ""CASIO"" REF:FX-82ARX","CALCULATRICE SCIENTIFIQUE 275 FONCTIONS CLASSWIZ ""CASIO"" REF: FX-82ARX ""CASIO"" REF:FX-82ARX",Indexage central avec 4 sections pour 4 matières différentes = sac plus léger !,72,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Casio,techno_ref=FX-82ARX",100,0,,15.99,1,calculatrice-scientifique-275-fonctions-classwiz-c
1140659666,Products,simple,Default Category,base,"CALCULATRICE SCIENTIFIQUE 417 FONCTIONS ""CASIO"" REF: FX-991ESPLUS ""CASIO"" REF:FX-991ESPLUS","CALCULATRICE SCIENTIFIQUE 417 FONCTIONS ""CASIO"" REF: FX-991ESPLUS ""CASIO"" REF:FX-991ESPLUS","Couverture souple et résistante en polypropylène, plus besoin de protège-cahier !",255.5,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Casio,techno_ref=FX-991ESPLUS",100,0,,15.99,1,calculatrice-scientifique-417-fonctions-casio-ref-
1140659667,Products,simple,Default Category,base,"CALCULATRICE SCIENTIFIQUE 252 FONCTIONS ""CASIO"" REF: FX-82ESPLUSBK ""CASIO"" REF:FX-82ESPLUSBK","CALCULATRICE SCIENTIFIQUE 252 FONCTIONS ""CASIO"" REF: FX-82ESPLUSBK ""CASIO"" REF:FX-82ESPLUSBK","Couverture souple et résistante en polypropylène, plus besoin de protège-cahier !",468,1,Taxable Goods,"Catalog, Search",France,"mgs_brand=Casio,techno_ref=FX-82ESPLUSBK",100,0,,15.99,1,calculatrice-scientifique-252-fonctions-casio-ref-
